course_id,course_name,category,instructor_id,level,price,total_modules,publish_date,language
1,Graphic Design dengan Figma,Design,49,Beginner,499000,12,2024-04-08,Indonesia
2,Manajemen Proyek Agile,Business,25,Intermediate,299000,10,2024-11-09,English
3,Digital Marketing Fundamentals,Marketing,35,Intermediate,499000,5,2025-02-24,Indonesia
4,Machine Learning Fundamentals - Batch 1,Data Science,47,Advanced,199000,10,2024-05-28,Indonesia
5,Big Data Fundamentals,Data Science,33,Advanced,149000,8,2024-04-26,Indonesia
6,Bahasa Jepang Dasar,Language,60,Advanced,0,12,2023-06-04,Indonesia
7,Fotografi untuk Pemula,Photography,57,Intermediate,149000,5,2024-06-09,Indonesia
8,UI/UX Design Fundamentals,Design,53,Beginner,499000,5,2026-02-11,Indonesia
9,Entrepreneurship Fundamentals - Batch 5,Business,56,Advanced,249000,12,2025-09-14,Indonesia
10,Desain Grafis untuk Pemula,Design,42,Intermediate,249000,10,2023-04-02,English
11,SQL untuk Data Analyst - Batch 1,Data Science,38,Advanced,149000,7,2022-12-02,Indonesia
12,Belajar Python untuk Pemula - Batch 1,Programming,56,Intermediate,0,4,2024-08-09,Indonesia
13,Content Marketing Strategy,Marketing,47,Advanced,299000,7,2025-01-24,English
14,Motion Graphics Basic - Batch 1,Design,43,Intermediate,199000,10,2023-11-25,English
15,Critical Thinking Skills,Personal Development,42,Beginner,0,4,2025-10-16,English
16,Bahasa Inggris untuk Pemula - Batch 5,Language,29,Beginner,249000,7,2025-07-12,Indonesia
17,Content Marketing Strategy,Marketing,5,Intermediate,499000,7,2025-03-22,Indonesia
18,Belajar Git & GitHub,Programming,6,Beginner,149000,12,2023-06-20,English
19,Videografi Dasar,Photography,58,Beginner,149000,7,2023-05-14,English
20,Mobile App Development Flutter,Programming,51,Intermediate,199000,8,2022-09-06,English
21,Editing Foto dengan Lightroom - Batch 1,Photography,38,Advanced,299000,7,2023-07-19,Indonesia
22,Bahasa Inggris untuk Pemula,Language,33,Advanced,149000,4,2024-06-12,Indonesia
23,SQL untuk Data Analyst,Data Science,44,Beginner,249000,5,2025-11-30,Indonesia
24,UI/UX Design Fundamentals,Design,38,Advanced,299000,5,2022-11-15,Indonesia
25,Social Media Marketing - Batch 4,Marketing,9,Advanced,349000,9,2024-03-17,Indonesia
26,Fotografi Produk - Batch 5,Photography,37,Beginner,0,5,2025-01-19,Indonesia
27,Social Media Marketing,Marketing,57,Beginner,199000,9,2023-05-08,Indonesia
28,Entrepreneurship Fundamentals,Business,40,Advanced,299000,12,2025-04-24,Indonesia
29,Digital Marketing Fundamentals - Batch 1,Marketing,48,Advanced,149000,6,2024-07-09,Indonesia
30,Social Media Marketing - Batch 3,Marketing,33,Intermediate,199000,9,2023-07-17,Indonesia
31,Big Data Fundamentals,Data Science,3,Beginner,199000,10,2025-02-26,Indonesia
32,Social Media Marketing,Marketing,28,Advanced,0,11,2022-08-10,Indonesia
33,Big Data Fundamentals,Data Science,54,Intermediate,299000,6,2025-07-11,Indonesia
34,Manajemen Waktu Efektif,Personal Development,58,Beginner,199000,4,2025-08-08,Indonesia
35,UI/UX Design Fundamentals,Design,57,Intermediate,299000,9,2023-01-02,Indonesia
