enrollment_id,user_id,course_id,enrollment_date,enrollment_source,date_anomaly_flag,is_retake
1,1861,237,2025-01-10,promo,none,False
2,1351,78,2026-07-08,ads,none,False
3,1847,236,2026-05-12,promo,none,False
4,1271,166,2026-07-12,promo,none,False
5,983,108,2025-07-07,ads,none,False
6,1160,70,2026-07-26,promo,none,False
7,1526,89,2026-07-21,promo,none,False
8,1892,147,2026-05-28,promo,none,False
9,1677,197,2026-04-24,referral,none,False
10,1695,235,2026-06-09,organic,none,False
11,1116,231,2026-05-04,organic,none,False
12,1080,238,2026-04-18,promo,none,False
13,1113,293,2024-11-27,referral,none,False
14,1838,104,2025-07-29,ads,none,False
15,1011,53,2025-11-18,ads,none,False
16,1850,232,2026-04-12,ads,none,False
17,1601,50,2026-07-10,promo,none,False
18,115,141,2025-12-10,promo,none,False
19,849,189,2026-07-03,organic,none,False
20,928,283,2024-10-27,organic,none,False
21,1448,16,2026-01-22,ads,none,False
22,1593,45,2025-09-24,ads,none,False
23,1077,142,2025-06-02,ads,none,False
24,61,203,2025-07-30,promo,none,False
25,1928,54,2026-06-23,ads,none,False
26,145,131,2026-05-25,ads,none,False
27,747,297,2026-03-14,organic,none,False
28,1336,168,2026-05-24,referral,none,False
29,1775,61,2026-05-29,promo,none,False
30,22,40,2025-12-01,ads,none,False
31,401,255,2025-08-27,ads,none,False
32,1342,84,2025-10-20,referral,none,False
33,1878,63,2026-02-18,referral,none,False
34,1615,25,2025-02-17,organic,none,False
35,1796,12,2025-02-05,ads,none,False
36,1437,252,2026-04-02,ads,none,False
37,1926,271,2026-03-27,ads,none,False
38,608,149,2026-07-11,promo,enrollment_before_registration,False
39,1013,203,2026-04-07,referral,none,False
40,1324,189,2026-05-12,promo,none,False
41,325,290,2026-06-23,organic,none,False
42,1837,153,2026-03-28,ads,none,False
43,469,264,2025-01-13,promo,none,False
44,11,237,2026-05-08,ads,none,False
45,377,63,2025-07-07,promo,none,False
46,1811,248,2024-06-18,promo,none,False
47,87,285,2025-10-17,referral,none,False
48,661,86,2026-02-06,referral,none,False
49,1861,119,2026-07-30,ads,none,False
50,772,46,2026-07-02,referral,none,False
51,529,188,2025-08-29,promo,none,False
52,314,50,2025-04-05,referral,none,False
53,70,185,2026-02-14,promo,none,False
54,1042,51,2026-06-21,ads,none,False
55,1591,157,2025-01-17,ads,none,False
56,1722,267,2026-07-24,organic,none,False
57,899,21,2026-04-27,promo,none,False
58,1425,151,2026-06-11,organic,none,False
59,411,254,2024-07-23,ads,none,False
60,21,256,2025-07-23,organic,none,False
61,207,79,2026-06-12,ads,enrollment_before_registration,False
62,1824,84,2026-06-22,referral,none,False
63,556,51,2026-03-31,referral,none,False
64,1388,127,2025-03-09,ads,none,False
65,1926,234,2025-06-15,organic,none,False
66,413,144,2026-07-09,ads,none,False
67,300,34,2026-06-17,ads,enrollment_before_registration,False
68,129,80,2026-05-18,ads,none,False
69,399,160,2025-11-24,ads,none,False
70,1011,28,2025-10-25,organic,none,False
71,1012,33,2026-05-23,ads,none,False
72,554,131,2026-04-30,referral,none,False
73,761,224,2024-05-30,referral,none,False
74,635,218,2025-09-08,promo,none,False
75,1767,105,2026-05-19,referral,none,False
76,1449,74,2025-03-10,referral,none,False
77,808,86,2026-05-27,referral,none,False
78,561,207,2026-01-01,ads,none,False
79,339,153,2025-12-02,promo,none,False
80,22,294,2025-07-14,promo,none,False
81,908,50,2025-01-12,promo,none,False
82,363,150,2026-03-15,promo,none,False
83,1960,191,2026-07-22,organic,none,False
84,525,105,2026-02-12,ads,none,False
85,1411,90,2026-04-08,referral,enrollment_before_registration;enrollment_before_publish,False
86,1342,290,2025-01-27,organic,none,False
87,357,194,2025-10-19,promo,none,False
88,1119,279,2025-12-28,organic,none,False
89,1300,206,2025-09-10,promo,none,False
90,1502,157,2026-02-05,organic,none,False
91,993,196,2025-01-28,organic,none,False
92,813,278,2024-06-10,referral,none,False
93,1660,136,2025-04-12,organic,none,False
94,391,71,2026-07-03,referral,enrollment_before_registration,False
95,745,22,2025-06-14,ads,none,False
96,341,168,2025-12-03,promo,none,False
97,892,134,2024-11-04,referral,none,False
98,1760,12,2025-07-04,promo,none,False
99,1466,46,2026-07-21,ads,none,False
100,204,244,2025-01-30,referral,none,False
101,713,239,2026-07-05,promo,none,False
102,901,229,2024-09-24,promo,none,False
103,1339,181,2025-11-08,ads,none,False
104,232,127,2025-05-24,referral,none,False
105,308,130,2026-02-03,promo,none,False
106,996,265,2025-09-25,organic,none,False
107,1656,140,2025-12-09,promo,none,False
108,1615,41,2025-06-01,organic,none,False
109,1839,33,2026-05-27,organic,none,False
110,1796,300,2025-06-04,promo,none,False
111,543,136,2026-02-19,referral,none,False
112,781,287,2023-12-16,ads,none,False
113,1646,165,2024-04-10,ads,none,False
114,1076,55,2026-03-12,promo,none,False
115,46,69,2026-01-17,promo,none,False
116,1640,127,2026-05-24,organic,none,False
117,1337,132,2024-12-10,promo,none,False
118,519,247,2026-03-14,organic,none,False
119,1304,254,2026-04-17,organic,none,False
120,809,109,2026-07-13,organic,none,False
121,1156,212,2026-01-29,referral,none,False
122,1000,253,2025-10-19,promo,none,False
123,569,201,2025-12-20,organic,none,False
124,392,261,2025-11-22,ads,none,False
125,1424,112,2026-05-20,referral,none,False
126,1312,115,2025-04-30,promo,none,False
127,666,203,2025-08-05,promo,none,False
128,444,28,2025-12-22,promo,none,False
129,1130,162,2026-07-22,promo,none,False
130,1860,54,2026-06-23,organic,none,False
131,774,207,2026-05-23,referral,none,False
132,448,286,2024-05-21,promo,none,False
133,1879,233,2026-07-21,referral,none,False
134,1073,290,2025-04-01,organic,none,False
135,796,76,2025-07-03,organic,none,False
136,177,150,2026-01-03,ads,none,False
137,51,126,2025-01-31,promo,none,False
138,28,182,2026-03-12,promo,none,False
139,1541,219,2026-04-21,organic,none,False
140,666,178,2026-07-15,ads,none,False
141,1709,141,2024-04-17,promo,none,False
142,579,234,2026-07-04,promo,none,False
143,1001,265,2026-03-22,promo,none,False
144,701,97,2024-07-29,referral,none,False
145,1672,264,2025-05-04,referral,none,False
146,1391,19,2025-05-28,ads,none,False
147,212,183,2026-04-20,promo,none,False
148,608,298,2026-05-04,ads,enrollment_before_registration,False
149,135,39,2025-09-06,promo,none,False
150,1985,184,2026-07-06,organic,none,False
151,82,70,2024-10-22,promo,none,False
152,348,147,2026-03-03,promo,none,False
153,1994,202,2025-12-28,organic,none,False
154,88,268,2026-07-06,organic,none,False
155,810,250,2025-10-24,ads,none,False
156,1397,29,2025-12-23,promo,none,False
157,1764,15,2025-10-16,organic,none,False
158,1528,283,2024-09-15,referral,none,False
159,187,97,2026-07-28,ads,none,False
160,878,137,2024-11-28,ads,none,False
161,91,51,2026-04-29,ads,none,False
162,488,205,2025-04-16,ads,none,False
163,259,92,2026-03-01,ads,none,False
164,961,77,2026-01-19,referral,none,False
165,28,9,2026-05-30,ads,none,False
166,227,72,2026-02-13,referral,none,False
167,1959,172,2026-07-16,ads,none,False
168,997,41,2026-02-04,promo,none,False
169,1900,13,2026-06-21,ads,none,False
170,1815,140,2026-04-29,promo,none,False
171,1219,47,2025-12-03,organic,none,False
172,1819,28,2026-07-29,promo,none,False
173,715,291,2025-12-23,organic,none,False
174,132,300,2026-06-22,referral,none,False
175,387,287,2024-10-16,referral,none,False
176,1418,102,2025-09-05,organic,none,False
177,684,35,2026-07-04,ads,none,False
178,1101,274,2026-04-19,ads,none,False
179,372,189,2026-03-30,ads,none,False
180,1742,43,2026-01-29,referral,none,False
181,792,290,2026-03-03,referral,enrollment_before_registration,False
182,173,268,2024-11-19,organic,none,False
183,147,50,2025-08-05,referral,none,False
184,1185,68,2024-12-28,ads,none,False
185,1356,105,2025-05-11,promo,none,False
186,1693,201,2025-09-08,organic,none,False
187,158,125,2026-01-11,promo,enrollment_before_publish,False
188,1842,188,2026-04-02,ads,none,False
189,1049,65,2026-01-06,promo,none,False
190,705,189,2026-03-01,ads,none,False
191,452,273,2024-12-20,promo,none,False
192,1968,189,2026-03-18,referral,none,False
193,487,72,2025-07-15,ads,none,False
194,270,33,2026-04-20,promo,none,False
195,1265,258,2026-07-24,promo,none,False
196,369,296,2026-03-21,organic,none,False
197,67,294,2026-01-30,promo,none,False
198,1149,168,2025-07-22,ads,none,False
199,1832,114,2026-06-16,referral,none,False
200,1488,237,2026-07-29,ads,none,False
201,260,296,2025-10-07,ads,none,False
202,428,255,2023-12-13,ads,none,False
203,602,65,2025-11-17,ads,none,False
204,1946,283,2026-07-02,referral,none,False
205,1317,175,2025-07-22,promo,none,False
206,1411,113,2026-04-01,ads,enrollment_before_registration,False
207,1418,115,2026-07-21,promo,none,False
208,185,232,2025-10-26,ads,none,False
209,315,75,2026-03-26,organic,none,False
210,251,203,2025-11-09,promo,none,False
211,279,175,2026-06-21,promo,none,False
212,1410,194,2026-02-25,organic,none,False
213,1846,71,2026-04-14,referral,none,False
214,104,168,2024-09-07,referral,none,False
215,169,53,2025-11-26,organic,none,False
216,46,11,2025-01-18,referral,none,False
217,1947,197,2024-10-19,ads,none,False
218,784,269,2026-03-30,ads,none,False
219,1601,155,2025-04-28,ads,none,False
220,1458,60,2026-04-14,organic,none,False
221,286,187,2026-04-21,referral,none,False
222,1612,262,2026-01-06,referral,none,False
223,1090,8,2026-07-19,ads,none,False
224,163,45,2026-07-14,organic,none,False
225,1242,89,2026-07-17,ads,none,False
226,315,276,2026-07-04,organic,none,False
227,583,296,2025-09-19,referral,none,False
228,1440,167,2025-12-12,referral,none,False
229,89,199,2025-11-30,promo,none,False
230,1844,258,2025-09-01,referral,none,False
231,1464,114,2025-12-11,promo,none,False
232,1698,79,2026-06-28,organic,none,False
233,33,129,2026-06-14,organic,none,False
234,936,250,2025-06-08,promo,none,False
235,957,176,2025-11-22,referral,none,False
236,111,28,2026-04-11,organic,none,False
237,1740,63,2026-07-17,organic,none,False
238,453,24,2026-07-24,promo,none,False
