progress_id,enrollment_id,module_id,access_date,access_timestamp,status,time_spent_minutes,completion_date,completion_timestamp,has_access_time,time_spent_flag
1,1,1928,2025-01-15,2025-01-15 10:53:02,in_progress,7.0,,,True,normal
2,2,630,2026-07-18,2026-07-18 20:25:56,completed,48.0,2026-07-18,2026-07-18 21:13:56,True,normal
3,2,631,2026-07-22,2026-07-22 13:28:17,completed,14.0,2026-07-22,2026-07-22 13:42:17,True,normal
4,2,632,2026-07-29,2026-07-29 22:44:49,in_progress,15.0,,,True,normal
5,3,1920,2026-05-21,2026-05-21 22:32:27,completed,41.0,2026-05-21,2026-05-21 23:13:27,True,normal
6,3,1921,2026-05-30,2026-05-30 10:44:51,completed,63.0,2026-05-30,2026-05-30 11:47:51,True,normal
7,4,1344,2026-07-18,2026-07-18 10:08:47,completed,25.0,2026-07-18,2026-07-18 10:33:47,True,normal
8,4,1345,2026-07-27,2026-07-27 09:10:45,completed,47.0,2026-07-27,2026-07-27 09:57:45,True,normal
9,4,1346,2026-08-04,2026-08-04 22:06:21,completed,34.0,2026-08-04,2026-08-04 22:40:21,True,normal
10,4,1347,2026-08-12,2026-08-12 03:44:04,completed,47.0,2026-08-12,2026-08-12 04:31:04,True,normal
11,4,1348,2026-08-19,2026-08-19 22:10:08,completed,55.0,2026-08-19,2026-08-19 23:05:08,True,normal
12,4,1349,2026-08-28,2026-08-28 13:31:19,completed,57.0,2026-08-28,2026-08-28 14:28:19,True,normal
13,4,1350,2026-09-07,2026-09-07 19:32:44,completed,55.0,2026-09-07,2026-09-07 20:27:44,True,normal
14,4,1351,2026-09-15,2026-09-15 22:08:13,completed,40.0,2026-09-15,2026-09-15 22:48:13,True,normal
15,4,1352,2026-09-25,2026-09-25 13:34:54,completed,58.0,2026-09-25,2026-09-25 14:32:54,True,normal
16,4,1353,2026-10-01,2026-10-01 07:46:12,completed,53.0,2026-10-01,2026-10-01 08:39:12,True,normal
17,4,1354,2026-10-05,2026-10-05 13:47:36,completed,63.0,2026-10-05,2026-10-05 14:50:36,True,normal
18,5,882,2025-07-22,2025-07-22 20:39:17,in_progress,25.0,,,True,normal
19,5,883,2025-08-06,2025-08-06 00:39:54,completed,75.0,2025-08-06,2025-08-06 01:54:54,True,normal
20,5,884,2025-08-13,2025-08-13 19:36:56,completed,30.0,2025-08-13,2025-08-13 20:06:56,True,normal
21,5,885,2025-08-18,2025-08-18 13:57:20,completed,37.0,2025-08-18,2025-08-18 14:34:20,True,normal
22,5,886,2025-09-11,2025-09-11 20:33:25,completed,46.0,2025-09-11,2025-09-11 21:19:25,True,normal
23,7,727,,,completed,36.0,2026-07-26,2026-07-26 11:03:17,False,normal
24,7,728,2026-07-26,2026-07-26 20:51:33,completed,38.0,2026-07-26,2026-07-26 21:29:33,True,normal
25,8,1191,2026-06-02,2026-06-02 13:09:11,in_progress,39.0,,,True,normal
26,10,1908,2026-06-17,2026-06-17 13:09:51,completed,29.0,2026-06-17,2026-06-17 13:38:51,True,normal
27,10,1909,2026-06-20,2026-06-20 23:01:32,completed,17.0,2026-06-20,2026-06-20 23:18:32,True,normal
28,10,1910,2026-06-25,2026-06-25 21:28:01,completed,63.0,2026-06-25,2026-06-25 22:31:01,True,normal
29,10,1911,2026-07-01,2026-07-01 13:59:17,completed,20.0,2026-07-01,2026-07-01 14:19:17,True,normal
30,10,1912,2026-07-04,2026-07-04 09:51:44,completed,7.0,2026-07-04,2026-07-04 09:58:44,True,normal
31,10,1913,2026-07-04,2026-07-04 10:38:49,completed,60.0,2026-07-04,2026-07-04 11:38:49,True,normal
32,10,1914,2026-07-05,2026-07-05 01:49:27,completed,4.0,2026-07-05,2026-07-05 01:53:27,True,normal
33,10,1915,2026-07-14,2026-07-14 22:52:57,completed,43.0,2026-07-14,2026-07-14 23:35:57,True,normal
34,10,1916,2026-07-21,2026-07-21 23:35:17,completed,32.0,2026-07-21,2026-07-22 00:07:17,True,normal
35,10,1917,2026-07-26,2026-07-26 01:20:58,completed,48.0,2026-07-26,2026-07-26 02:08:58,True,normal
36,10,1918,2026-07-29,2026-07-29 21:31:19,completed,64.0,2026-07-29,2026-07-29 22:35:19,True,normal
37,10,1919,2026-07-29,2026-07-29 20:14:36,completed,37.0,2026-07-29,2026-07-29 20:51:36,True,normal
38,11,1872,2026-05-09,2026-05-09 15:08:42,completed,62.0,2026-05-09,2026-05-09 16:10:42,True,normal
39,11,1873,2026-05-09,2026-05-09 10:41:55,completed,42.0,2026-05-09,2026-05-09 11:23:55,True,normal
40,11,1874,2026-05-09,2026-05-09 11:33:38,completed,16.0,2026-05-09,2026-05-09 11:49:38,True,normal
41,11,1875,2026-05-11,2026-05-11 21:01:29,completed,56.0,2026-05-11,2026-05-11 21:57:29,True,normal
42,12,1932,2026-04-21,2026-04-21 19:18:34,in_progress,54.0,,,True,normal
43,13,2408,2024-11-28,2024-11-28 22:47:17,completed,31.0,2024-11-28,2024-11-28 23:18:17,True,normal
44,13,2409,2024-12-08,2024-12-08 19:08:53,in_progress,44.0,,,True,normal
45,15,412,2025-11-26,2025-11-26 20:10:15,completed,53.0,2025-11-26,2025-11-26 21:03:15,True,normal
46,15,413,2025-11-29,2025-11-29 04:41:23,completed,73.0,2025-11-29,2025-11-29 05:54:23,True,normal
47,15,414,2025-12-05,2025-12-05 10:26:53,completed,13.0,2025-12-05,2025-12-05 10:39:53,True,normal
48,15,415,2025-12-13,2025-12-13 14:44:00,completed,18.0,2025-12-13,2025-12-13 15:02:00,True,normal
49,15,416,2025-12-15,2025-12-15 22:58:43,completed,70.0,2025-12-15,2025-12-16 00:08:43,True,normal
50,15,417,2025-12-16,2025-12-16 22:48:05,completed,24.0,2025-12-16,2025-12-16 23:12:05,True,normal
51,15,418,2025-12-24,2025-12-24 16:23:52,in_progress,7.0,,,True,normal
52,16,1876,2026-04-20,2026-04-20 19:09:15,completed,52.0,2026-04-20,2026-04-20 20:01:15,True,normal
53,16,1877,2026-04-22,2026-04-22 19:32:37,completed,43.0,2026-04-22,2026-04-22 20:15:37,True,normal
54,16,1878,2026-04-24,2026-04-24 20:02:45,in_progress,23.0,,,True,normal
55,18,1149,2025-12-18,2025-12-18 13:29:28,completed,76.0,2025-12-18,2025-12-18 14:45:28,True,normal
56,19,1528,2026-07-13,2026-07-13 13:12:37,completed,62.0,2026-07-13,2026-07-13 14:14:37,True,normal
57,19,1529,2026-07-21,2026-07-21 19:04:22,in_progress,15.0,,,True,normal
58,20,2314,2024-10-27,2024-10-27 14:38:48,completed,7.0,2024-10-27,2024-10-27 14:45:48,True,normal
59,20,2315,2024-11-02,2024-11-02 10:16:35,completed,35.0,2024-11-02,2024-11-02 10:51:35,True,normal
60,20,2316,2024-11-08,2024-11-08 22:43:30,in_progress,14.0,,,True,normal
61,21,122,2026-01-31,2026-01-31 09:40:50,completed,77.0,2026-01-31,2026-01-31 10:57:50,True,normal
62,21,123,2026-01-31,2026-01-31 07:56:51,completed,87.0,2026-01-31,2026-01-31 09:23:51,True,normal
63,21,124,2026-02-02,2026-02-02 19:41:24,completed,30.0,2026-02-02,2026-02-02 20:11:24,True,normal
