module_id,course_id,module_order,module_title,duration_minutes
1,1,1,Modul 1: Pengenalan & Overview,54.0
2,1,2,Modul 2: Konsep Dasar,53.0
3,1,3,Modul 3: Studi Kasus 1,15.0
4,1,4,Modul 4: Praktik Langsung,51.0
5,1,5,Modul 5: Studi Kasus 2,15.0
6,1,6,Modul 6: Teknik Lanjutan,34.0
7,1,7,Modul 7: Tools & Best Practices,13.0
8,1,8,Modul 8: Project Mini,54.0
9,1,9,Modul 9: Evaluasi & Quiz,41.0
10,1,10,Modul 10: Studi Kasus Lanjutan,51.0
11,1,11,Modul 11: Optimasi & Tips,46.0
12,1,12,Modul 12: Final Project,16.0
13,2,1,Modul 1: Pengenalan & Overview,12.0
14,2,2,Modul 2: Konsep Dasar,54.0
15,2,3,Modul 3: Studi Kasus 1,40.0
16,2,4,Modul 4: Praktik Langsung,14.0
17,2,5,Modul 5: Studi Kasus 2,27.0
18,2,6,Modul 6: Teknik Lanjutan,46.0
19,2,7,Modul 7: Tools & Best Practices,21.0
20,2,8,Modul 8: Project Mini,
21,2,9,Modul 9: Evaluasi & Quiz,23.0
22,2,10,Modul 10: Studi Kasus Lanjutan,58.0
23,3,1,Modul 1: Pengenalan & Overview,35.0
24,3,2,Modul 2: Konsep Dasar,29.0
25,3,3,Modul 3: Studi Kasus 1,25.0
26,3,4,Modul 4: Praktik Langsung,34.0
27,3,5,Modul 5: Studi Kasus 2,44.0
28,4,1,Modul 1: Pengenalan & Overview,58.0
29,4,2,Modul 2: Konsep Dasar,60.0
30,4,3,Modul 3: Studi Kasus 1,56.0
31,4,4,Modul 4: Praktik Langsung,57.0
32,4,5,Modul 5: Studi Kasus 2,13.0
33,4,6,Modul 6: Teknik Lanjutan,24.0
34,4,7,Modul 7: Tools & Best Practices,31.0
35,4,8,Modul 8: Project Mini,49.0
36,4,9,Modul 9: Evaluasi & Quiz,35.0
37,4,10,Modul 10: Studi Kasus Lanjutan,30.0
38,5,1,Modul 1: Pengenalan & Overview,27.0
39,5,2,Modul 2: Konsep Dasar,38.0
40,5,3,Modul 3: Studi Kasus 1,32.0
41,5,4,Modul 4: Praktik Langsung,34.0
42,5,5,Modul 5: Studi Kasus 2,53.0
43,5,6,Modul 6: Teknik Lanjutan,34.0
44,5,7,Modul 7: Tools & Best Practices,49.0
45,5,8,Modul 8: Project Mini,25.0
46,6,1,Modul 1: Pengenalan & Overview,15.0
47,6,2,Modul 2: Konsep Dasar,34.0
48,6,3,Modul 3: Studi Kasus 1,50.0
49,6,4,Modul 4: Praktik Langsung,34.0
50,6,5,Modul 5: Studi Kasus 2,16.0
51,6,6,Modul 6: Teknik Lanjutan,29.0
52,6,7,Modul 7: Tools & Best Practices,58.0
53,6,8,Modul 8: Project Mini,18.0
54,6,9,Modul 9: Evaluasi & Quiz,37.0
55,6,10,Modul 10: Studi Kasus Lanjutan,45.0
56,6,11,Modul 11: Optimasi & Tips,16.0
57,6,12,Modul 12: Final Project,32.0
58,7,1,Modul 1: Pengenalan & Overview,48.0
59,7,2,Modul 2: Konsep Dasar,30.0
60,7,3,Modul 3: Studi Kasus 1,10.0
61,7,4,Modul 4: Praktik Langsung,34.0
62,7,5,Modul 5: Studi Kasus 2,56.0
63,8,1,Modul 1: Pengenalan & Overview,25.0
64,8,2,Modul 2: Konsep Dasar,20.0
65,8,3,Modul 3: Studi Kasus 1,20.0
