enrollment_id,user_id,course_id,enrollment_date,enrollment_source
1,1861,237,2025-01-10,promo
2,1351,78,2026-07-08,ads
3,1847,236,2026-05-12,promo
4,1271,166,2026-07-12,promo
5,983,108,2025-07-07,ads
6,1160,70,2026-07-26,promo
7,1526,89,2026-07-21,promo
8,1892,147,2026-05-28,promo
9,1677,197,2026-04-24,referral
10,1695,235,2026-06-09,organic
11,1116,231,2026-05-04,organic
12,1080,238,2026-04-18,promo
13,1113,293,2024-11-27,referral
14,1838,104,2025-07-29,ads
15,1011,53,2025-11-18,ads
16,1850,232,2026-04-12,ads
17,1601,50,2026-07-10,promo
18,115,141,2025-12-10,promo
19,849,189,2026-07-03,organic
20,928,283,2024-10-27,organic
21,1448,16,2026-01-22,ads
22,1593,45,2025-09-24,ads
23,1077,142,2025-06-02,ads
24,61,203,2025-07-30,promo
25,1928,54,2026-06-23,ads
26,145,131,2026-05-25,ads
27,747,297,2026-03-14,organic
28,1336,168,2026-05-24,referral
29,1775,61,2026-05-29,promo
30,22,40,2025-12-01,ads
31,401,255,2025-08-27,ads
32,1342,84,2025-10-20,referral
33,1878,63,2026-02-18,referral
34,1615,25,2025-02-17,organic
35,1796,12,2025-02-05,ads
36,1437,252,2026-04-02,ads
37,1926,271,2026-03-27,ads
38,608,149,2026-07-11,promo
39,1013,203,2026-04-07,referral
40,1324,189,2026-05-12,promo
41,325,290,2026-06-23,organic
42,1837,153,2026-03-28,ads
43,469,264,2025-01-13,promo
44,11,237,2026-05-08,ads
45,377,63,2025-07-07,promo
46,1811,248,2024-06-18,promo
47,87,285,2025-10-17,referral
48,661,86,2026-02-06,referral
49,1861,119,2026-07-30,ads
50,772,46,2026-07-02,referral
51,529,188,2025-08-29,promo
52,314,50,2025-04-05,referral
53,70,185,2026-02-14,promo
54,1042,51,2026-06-21,ads
55,1591,157,2025-01-17,ads
56,1722,267,2026-07-24,organic
57,899,21,2026-04-27,promo
58,1425,151,2026-06-11,organic
59,411,254,2024-07-23,ads
60,21,256,2025-07-23,organic
61,207,79,2026-06-12,ads
62,1824,84,2026-06-22,referral
63,556,51,2026-03-31,referral
64,1388,127,2025-03-09,ads
65,1926,234,2025-06-15,organic
66,413,144,2026-07-09,ads
67,300,34,2026-06-17,ads
68,129,80,2026-05-18,ads
69,399,160,2025-11-24,ads
70,1011,28,2025-10-25,organic
71,1012,33,2026-05-23,ads
72,554,131,2026-04-30,referral
73,761,224,2024-05-30,referral
74,635,218,2025-09-08,promo
75,1767,105,2026-05-19,referral
76,1449,74,2025-03-10,referral
77,808,86,2026-05-27,referral
78,561,207,2026-01-01,ads
79,339,153,2025-12-02,promo
80,22,294,2025-07-14,promo
81,908,50,2025-01-12,promo
82,363,150,2026-03-15,promo
83,1960,191,2026-07-22,organic
84,525,105,2026-02-12,ads
85,1411,90,2026-04-08,referral
86,1342,290,2025-01-27,organic
87,357,194,2025-10-19,promo
88,1119,279,2025-12-28,organic
89,1300,206,2025-09-10,promo
90,1502,157,2026-02-05,organic
91,993,196,2025-01-28,organic
92,813,278,2024-06-10,referral
93,1660,136,2025-04-12,organic
94,391,71,2026-07-03,referral
95,745,22,2025-06-14,ads
96,341,168,2025-12-03,promo
97,892,134,2024-11-04,referral
98,1760,12,2025-07-04,promo
99,1466,46,2026-07-21,ads
100,204,244,2025-01-30,referral
101,713,239,2026-07-05,promo
102,901,229,2024-09-24,promo
103,1339,181,2025-11-08,ads
104,232,127,2025-05-24,referral
105,308,130,2026-02-03,promo
106,996,265,2025-09-25,organic
107,1656,140,2025-12-09,promo
108,1615,41,2025-06-01,organic
109,1839,33,2026-05-27,organic
110,1796,300,2025-06-04,promo
111,543,136,2026-02-19,referral
112,781,287,2023-12-16,ads
113,1646,165,2024-04-10,ads
114,1076,55,2026-03-12,promo
115,46,69,2026-01-17,promo
116,1640,127,2026-05-24,organic
117,1337,132,2024-12-10,promo
118,519,247,2026-03-14,organic
119,1304,254,2026-04-17,organic
120,809,109,2026-07-13,organic
121,1156,212,2026-01-29,referral
122,1000,253,2025-10-19,promo
123,569,201,2025-12-20,organic
124,392,261,2025-11-22,ads
125,1424,112,2026-05-20,referral
126,1312,115,2025-04-30,promo
127,666,203,2025-08-05,promo
128,444,28,2025-12-22,promo
129,1130,162,2026-07-22,promo
130,1860,54,2026-06-23,organic
131,774,207,2026-05-23,referral
132,448,286,2024-05-21,promo
133,1879,233,2026-07-21,referral
134,1073,290,2025-04-01,organic
135,796,76,2025-07-03,organic
136,177,150,2026-01-03,ads
137,51,126,2025-01-31,promo
138,28,182,2026-03-12,promo
139,1541,219,2026-04-21,organic
140,666,178,2026-07-15,ads
141,1709,141,2024-04-17,promo
142,579,234,2026-07-04,promo
143,1001,265,2026-03-22,promo
144,701,97,2024-07-29,referral
145,1672,264,2025-05-04,referral
146,1391,19,2025-05-28,ads
147,212,183,2026-04-20,promo
148,608,298,2026-05-04,ads
149,135,39,2025-09-06,promo
150,1985,184,2026-07-06,organic
151,82,70,2024-10-22,promo
152,348,147,2026-03-03,promo
153,1994,202,2025-12-28,organic
154,88,268,2026-07-06,organic
155,810,250,2025-10-24,ads
156,1397,29,2025-12-23,promo
157,1764,15,2025-10-16,organic
158,1528,283,2024-09-15,referral
159,187,97,2026-07-28,ads
160,878,137,2024-11-28,ads
161,91,51,2026-04-29,ads
162,488,205,2025-04-16,ads
163,259,92,2026-03-01,ads
164,961,77,2026-01-19,referral
165,28,9,2026-05-30,ads
166,227,72,2026-02-13,referral
167,1959,172,2026-07-16,ads
168,997,41,2026-02-04,promo
169,1900,13,2026-06-21,ads
170,1815,140,2026-04-29,promo
171,1219,47,2025-12-03,organic
172,1819,28,2026-07-29,promo
173,715,291,2025-12-23,organic
174,132,300,2026-06-22,referral
175,387,287,2024-10-16,referral
176,1418,102,2025-09-05,organic
177,684,35,2026-07-04,ads
178,1101,274,2026-04-19,ads
179,372,189,2026-03-30,ads
180,1742,43,2026-01-29,referral
181,792,290,2026-03-03,referral
182,173,268,2024-11-19,organic
183,147,50,2025-08-05,referral
184,1185,68,2024-12-28,ads
185,1356,105,2025-05-11,promo
186,1693,201,2025-09-08,organic
187,158,125,2026-01-11,promo
188,1842,188,2026-04-02,ads
189,1049,65,2026-01-06,promo
190,705,189,2026-03-01,ads
191,452,273,2024-12-20,promo
192,1968,189,2026-03-18,referral
193,487,72,2025-07-15,ads
194,270,33,2026-04-20,promo
195,1265,258,2026-07-24,promo
196,369,296,2026-03-21,organic
197,67,294,2026-01-30,promo
198,1149,168,2025-07-22,ads
199,1832,114,2026-06-16,referral
200,1488,237,2026-07-29,ads
201,260,296,2025-10-07,ads
202,428,255,2023-12-13,ads
203,602,65,2025-11-17,ads
204,1946,283,2026-07-02,referral
205,1317,175,2025-07-22,promo
206,1411,113,2026-04-01,ads
207,1418,115,2026-07-21,promo
208,185,232,2025-10-26,ads
209,315,75,2026-03-26,organic
210,251,203,2025-11-09,promo
211,279,175,2026-06-21,promo
212,1410,194,2026-02-25,organic
213,1846,71,2026-04-14,referral
214,104,168,2024-09-07,referral
215,169,53,2025-11-26,organic
216,46,11,2025-01-18,referral
217,1947,197,2024-10-19,ads
218,784,269,2026-03-30,ads
219,1601,155,2025-04-28,ads
220,1458,60,2026-04-14,organic
221,286,187,2026-04-21,referral
222,1612,262,2026-01-06,referral
223,1090,8,2026-07-19,ads
224,163,45,2026-07-14,organic
225,1242,89,2026-07-17,ads
